number_sta,lat,lon,date,dd,ff,precip,hu,t,heure,minute,seconde,heure_complete
83148002,43.39,6.53,2016-01-01 01:42:00,30.0,2.3,0.0,85.0,280.85,1,42,0,0 days 01:42:00
84025001,43.88,5.16,2016-01-01 01:42:00,0.0,0.0,0.0,99.0,281.55,1,42,0,0 days 01:42:00
7187001,44.61,4.24,2016-01-01 01:48:00,330.0,2.6,0.0,93.0,278.95,1,48,0,0 days 01:48:00
15122002,44.73,2.17,2016-01-01 01:48:00,10.0,2.3,0.0,97.0,276.45,1,48,0,0 days 01:48:00
19164001,45.7,2.06,2016-01-01 01:48:00,100.0,2.0,0.0,100.0,273.85,1,48,0,0 days 01:48:00
26321003,44.55,5.28,2016-01-01 01:48:00,0.0,0.0,0.0,96.0,279.45,1,48,0,0 days 01:48:00
34209002,43.32,3.35,2016-01-01 01:48:00,240.0,0.7,0.0,95.0,283.55,1,48,0,0 days 01:48:00
38191002,45.09,6.09,2016-01-01 01:48:00,350.0,2.0,0.0,85.0,273.95,1,48,0,0 days 01:48:00
38548001,45.08,5.56,2016-01-01 01:48:00,200.0,1.0,0.4,99.0,276.85,1,48,0,0 days 01:48:00
74042003,46.07,6.38,2016-01-01 01:48:00,330.0,0.8,0.0,99.0,279.65,1,48,0,0 days 01:48:00
83148002,43.39,6.53,2016-01-01 01:48:00,20.0,2.9,0.0,83.0,281.05,1,48,0,0 days 01:48:00
84025001,43.88,5.16,2016-01-01 01:48:00,0.0,0.0,0.0,99.0,281.55,1,48,0,0 days 01:48:00
7187001,44.61,4.24,2016-01-01 01:54:00,330.0,2.7,0.0,94.0,278.95,1,54,0,0 days 01:54:00
15122002,44.73,2.17,2016-01-01 01:54:00,10.0,2.6,0.0,97.0,276.35,1,54,0,0 days 01:54:00
19164001,45.7,2.06,2016-01-01 01:54:00,110.0,2.2,0.0,100.0,274.05,1,54,0,0 days 01:54:00
26321003,44.55,5.28,2016-01-01 01:54:00,0.0,0.0,0.0,97.0,279.45,1,54,0,0 days 01:54:00
34209002,43.32,3.35,2016-01-01 01:54:00,0.0,0.0,0.0,95.0,283.55,1,54,0,0 days 01:54:00
38191002,45.09,6.09,2016-01-01 01:54:00,330.0,1.5,0.0,85.0,273.95,1,54,0,0 days 01:54:00
38548001,45.08,5.56,2016-01-01 01:54:00,130.0,1.0,0.2,99.0,276.95,1,54,0,0 days 01:54:00
74042003,46.07,6.38,2016-01-01 01:54:00,300.0,0.5,0.0,99.0,279.55,1,54,0,0 days 01:54:00
83148002,43.39,6.53,2016-01-01 01:54:00,360.0,2.5,0.0,83.0,281.05,1,54,0,0 days 01:54:00
84025001,43.88,5.16,2016-01-01 01:54:00,0.0,0.0,0.0,99.0,281.55,1,54,0,0 days 01:54:00
7187001,44.61,4.24,2016-01-01 02:00:00,340.0,2.6,0.0,93.0,279.05,2,0,0,0 days 02:00:00
15122002,44.73,2.17,2016-01-01 02:00:00,360.0,2.3,0.0,97.0,276.15,2,0,0,0 days 02:00:00
19164001,45.7,2.06,2016-01-01 02:00:00,110.0,2.2,0.0,100.0,274.15,2,0,0,0 days 02:00:00
26321003,44.55,5.28,2016-01-01 02:00:00,30.0,0.7,0.0,97.0,279.45,2,0,0,0 days 02:00:00
34209002,43.32,3.35,2016-01-01 02:00:00,0.0,0.0,0.0,95.0,283.55,2,0,0,0 days 02:00:00
38191002,45.09,6.09,2016-01-01 02:00:00,330.0,1.0,0.0,86.0,273.95,2,0,0,0 days 02:00:00
38548001,45.08,5.56,2016-01-01 02:00:00,120.0,1.5,0.4,99.0,277.05,2,0,0,0 days 02:00:00
74042003,46.07,6.38,2016-01-01 02:00:00,250.0,0.6,0.0,99.0,279.55,2,0,0,0 days 02:00:00
83148002,43.39,6.53,2016-01-01 02:00:00,350.0,1.3,0.0,85.0,280.95,2,0,0,0 days 02:00:00
84025001,43.88,5.16,2016-01-01 02:00:00,0.0,0.0,0.0,98.0,281.55,2,0,0,0 days 02:00:00
7187001,44.61,4.24,2016-01-01 02:06:00,350.0,2.5,0.0,93.0,279.15,2,6,0,0 days 02:06:00
15122002,44.73,2.17,2016-01-01 02:06:00,10.0,2.2,0.0,98.0,276.25,2,6,0,0 days 02:06:00
19164001,45.7,2.06,2016-01-01 02:06:00,110.0,2.0,0.0,100.0,274.25,2,6,0,0 days 02:06:00
26321003,44.55,5.28,2016-01-01 02:06:00,40.0,1.0,0.0,97.0,279.45,2,6,0,0 days 02:06:00
34209002,43.32,3.35,2016-01-01 02:06:00,0.0,0.0,0.0,95.0,283.55,2,6,0,0 days 02:06:00
38191002,45.09,6.09,2016-01-01 02:06:00,280.0,0.6,0.0,90.0,273.85,2,6,0,0 days 02:06:00
38548001,45.08,5.56,2016-01-01 02:06:00,120.0,1.9,0.2,99.0,277.05,2,6,0,0 days 02:06:00
74042003,46.07,6.38,2016-01-01 02:06:00,230.0,1.1,0.0,99.0,279.55,2,6,0,0 days 02:06:00
83148002,43.39,6.53,2016-01-01 02:06:00,0.0,0.0,0.0,88.0,280.65,2,6,0,0 days 02:06:00
84025001,43.88,5.16,2016-01-01 02:06:00,0.0,0.0,0.0,98.0,281.55,2,6,0,0 days 02:06:00
7187001,44.61,4.24,2016-01-01 02:12:00,350.0,2.5,0.0,92.0,279.25,2,12,0,0 days 02:12:00
15122002,44.73,2.17,2016-01-01 02:12:00,30.0,2.7,0.0,98.0,276.25,2,12,0,0 days 02:12:00
19164001,45.7,2.06,2016-01-01 02:12:00,110.0,2.1,0.0,100.0,274.25,2,12,0,0 days 02:12:00
26321003,44.55,5.28,2016-01-01 02:12:00,30.0,1.0,0.0,98.0,279.45,2,12,0,0 days 02:12:00
34209002,43.32,3.35,2016-01-01 02:12:00,20.0,0.7,0.0,95.0,283.55,2,12,0,0 days 02:12:00
